iter	Passed	Remaining
0	138	138394
1	140	69881
2	145	48192
3	146	36452
4	149	29704
5	153	25374
6	155	22069
7	156	19393
8	157	17352
9	159	15812
10	160	14423
11	161	13320
12	163	12382
13	164	11586
14	165	10881
15	167	10314
16	169	9804
17	171	9337
18	172	8917
19	174	8554
20	175	8174
21	176	7854
22	177	7545
23	179	7283
24	180	7038
25	181	6803
26	183	6600
27	184	6407
28	185	6219
29	186	6044
30	188	5878
31	188	5715
32	190	5570
33	190	5424
34	191	5290
35	192	5167
36	193	5046
37	194	4931
38	195	4826
39	196	4725
40	197	4628
41	198	4528
42	199	4432
43	199	4343
44	200	4258
45	201	4174
46	202	4096
47	202	4021
48	203	3948
49	203	3875
50	204	3807
51	205	3741
52	205	3678
53	206	3617
54	206	3554
55	207	3493
56	207	3436
57	208	3382
58	208	3330
59	209	3279
60	209	3227
61	210	3177
62	210	3126
63	210	3083
64	211	3039
65	211	2996
66	212	2955
67	212	2915
68	213	2876
69	213	2837
70	214	2802
71	214	2768
72	215	2733
73	215	2699
74	216	2666
75	216	2634
76	217	2603
77	217	2572
78	218	2542
79	218	2514
80	219	2487
81	219	2459
82	220	2433
83	220	2408
84	221	2384
85	222	2360
86	222	2336
87	223	2313
88	223	2288
89	224	2265
90	224	2242
91	225	2220
92	225	2199
93	225	2177
94	226	2156
95	227	2138
96	227	2119
97	228	2101
98	228	2084
99	229	2067
100	230	2050
101	230	2033
102	231	2017
103	232	2000
104	232	1985
105	233	1970
106	234	1955
107	234	1940
108	235	1925
109	236	1911
110	236	1896
111	237	1882
112	238	1869
113	238	1855
114	239	1841
115	240	1829
116	240	1817
117	241	1805
118	242	1793
119	242	1781
120	243	1769
121	244	1757
122	244	1746
123	245	1735
124	246	1724
125	246	1713
126	247	1702
127	248	1691
128	248	1678
129	249	1668
130	249	1657
131	250	1647
132	251	1636
133	251	1625
134	252	1616
135	252	1606
136	253	1596
137	254	1586
138	254	1577
139	255	1567
140	255	1557
141	256	1548
142	256	1539
143	257	1530
144	258	1521
145	258	1513
146	259	1505
147	260	1497
148	260	1487
149	261	1479
150	261	1470
151	262	1462
152	262	1454
153	263	1446
154	263	1437
155	264	1429
156	264	1421
157	265	1414
158	265	1406
159	266	1399
160	267	1391
161	267	1384
162	268	1376
163	268	1370
164	269	1363
165	269	1355
166	270	1348
