iter	Passed	Remaining
0	1	1169
1	2	1012
2	2	921
3	3	900
4	4	891
5	5	877
6	6	857
7	6	836
8	7	822
9	8	808
10	8	793
11	9	791
12	10	790
13	11	787
14	12	793
15	12	795
16	13	789
17	14	780
18	15	775
19	15	773
20	16	770
21	17	771
22	18	773
23	19	772
24	19	772
25	20	766
26	21	767
27	22	764
28	22	760
29	23	759
30	24	758
31	25	757
32	25	755
33	26	755
34	27	752
35	28	751
36	28	749
37	29	745
38	30	745
39	30	743
40	31	742
41	32	741
42	33	740
43	33	738
44	34	739
45	35	738
46	36	739
47	37	738
48	37	736
49	38	736
50	39	735
51	40	734
52	40	732
53	41	731
54	42	729
55	43	727
56	43	724
57	44	723
58	45	722
59	46	722
60	46	719
61	47	718
62	48	718
63	49	716
64	49	715
65	50	714
66	51	711
67	51	710
68	52	708
69	53	707
70	53	706
71	54	707
72	55	705
73	56	705
74	57	705
75	58	705
76	58	705
77	59	704
78	60	703
79	61	702
80	61	701
81	62	700
82	62	695
83	63	696
84	64	695
85	65	694
86	66	695
87	67	695
88	67	695
89	68	694
90	69	694
91	70	693
92	70	692
93	71	691
94	72	692
95	73	693
96	74	693
97	75	692
98	76	692
99	76	692
100	77	691
101	78	691
102	79	691
103	80	690
104	80	689
105	81	689
106	82	689
107	83	688
108	84	687
109	84	687
110	85	686
111	86	685
112	87	684
113	87	682
114	88	680
115	89	679
116	89	676
117	90	676
118	91	674
119	91	673
120	92	672
121	93	669
122	93	667
123	94	666
124	94	664
125	95	662
126	96	660
127	96	658
128	97	661
129	98	659
130	99	658
131	99	656
132	100	655
133	101	653
134	101	652
135	102	650
136	103	649
137	103	648
138	104	647
139	105	646
140	105	645
141	106	642
142	107	642
143	108	642
144	108	642
145	109	642
146	110	641
147	111	641
148	112	641
149	112	640
150	113	639
151	114	638
152	115	638
153	116	638
154	117	639
155	118	639
156	119	640
157	119	639
158	121	640
159	121	640
160	122	638
161	123	639
162	124	638
163	125	638
164	126	639
165	127	639
166	128	639
167	129	640
168	130	639
169	131	640
170	132	639
171	132	639
172	133	638
173	134	637
174	135	637
175	136	638
176	137	638
177	138	637
178	138	636
179	139	636
180	140	635
181	141	634
182	141	633
183	142	632
184	143	631
185	144	630
186	145	631
187	146	631
188	147	630
189	147	629
190	148	628
191	149	628
192	150	627
193	150	626
194	151	626
195	152	625
196	153	625
197	154	625
198	155	624
199	155	623
200	156	622
201	157	621
202	157	620
203	158	618
204	159	617
205	159	616
206	160	615
207	161	614
208	162	614
209	163	614
210	163	613
211	164	611
212	165	610
213	165	609
214	166	607
215	167	606
216	167	605
217	168	605
218	169	603
219	169	602
220	170	601
221	171	600
222	172	599
223	172	598
224	173	597
225	174	596
226	174	595
227	175	593
228	175	592
229	176	591
230	177	589
231	177	589
232	178	587
233	179	586
234	180	586
235	180	585
236	181	584
237	182	583
238	183	583
239	183	581
240	184	580
241	185	579
242	185	579
243	186	578
244	187	577
245	188	576
246	188	575
247	189	575
248	190	574
249	191	573
250	191	572
251	192	571
252	193	570
253	194	570
254	194	569
255	195	568
256	196	567
257	197	566
258	197	565
259	198	565
260	199	564
261	200	563
262	200	563
263	201	562
264	202	561
265	203	560
266	203	559
267	204	558
268	205	557
269	205	556
270	206	554
271	207	554
272	207	553
273	208	552
274	209	551
275	209	550
276	210	550
277	211	549
278	212	548
279	212	547
280	213	546
281	214	545
282	214	544
283	215	543
284	216	542
285	216	541
286	217	540
287	218	539
288	218	538
289	219	537
290	219	535
291	220	534
292	221	534
293	222	533
294	222	532
295	223	531
296	224	530
297	225	530
298	226	530
299	227	530
300	227	529
301	228	528
302	229	528
303	230	527
304	231	526
305	231	525
306	232	525
307	233	524
308	234	523
309	235	523
310	236	523
311	236	522
312	237	521
313	238	520
314	238	519
315	239	518
316	240	517
317	241	517
318	241	516
319	242	515
320	243	514
321	243	513
322	244	512
323	245	512
324	246	511
325	246	510
326	247	509
327	248	508
328	248	507
329	249	506
330	250	505
331	250	504
332	251	503
333	252	503
334	253	502
335	254	502
336	254	501
337	255	500
338	256	499
339	256	498
340	257	497
341	257	496
342	258	495
343	259	494
344	259	493
345	260	492
346	261	491
347	262	490
348	262	489
349	263	488
350	263	488
351	264	487
352	265	486
353	265	485
354	266	484
355	267	483
356	267	482
357	268	481
358	269	480
359	270	480
360	270	479
361	271	478
362	272	477
363	272	476
364	273	476
365	274	475
366	274	474
367	275	473
368	276	471
369	276	470
370	277	469
371	277	468
372	278	467
373	279	467
374	279	466
375	280	465
376	280	464
377	281	463
378	282	462
379	282	461
380	283	460
381	283	459
382	284	458
383	285	457
384	285	456
385	286	455
386	286	454
387	287	453
388	288	452
389	289	452
390	289	451
391	290	450
392	291	449
393	291	448
394	292	447
395	293	447
396	294	446
397	294	446
398	295	445
399	296	444
400	297	443
401	298	443
402	298	442
403	299	441
404	300	441
405	300	440
406	301	439
407	302	438
408	302	437
409	303	436
410	304	435
411	304	435
412	305	434
413	306	433
414	307	433
415	307	432
416	308	431
417	309	430
418	309	429
419	310	428
420	311	427
421	312	427
422	313	426
423	313	426
424	314	425
425	315	425
426	316	424
427	317	424
428	317	423
429	318	422
430	319	421
431	320	420
432	320	420
433	321	419
434	322	418
435	322	417
436	323	416
437	324	416
438	325	415
439	326	415
440	327	414
441	327	413
442	328	412
443	329	412
444	330	411
445	330	410
446	331	410
447	332	409
448	333	408
449	334	408
450	334	407
451	335	406
452	336	406
453	336	405
454	337	404
455	338	403
456	338	402
457	339	401
458	340	400
459	340	400
460	341	399
461	342	399
462	343	398
463	344	397
464	344	396
465	345	395
466	346	394
467	346	394
468	347	393
469	347	392
470	348	391
471	349	390
472	349	389
473	350	388
474	351	388
475	351	387
476	352	386
477	353	385
478	353	384
479	354	384
480	355	383
481	355	382
482	356	381
483	357	380
484	357	379
485	358	378
486	358	378
487	359	377
488	360	376
489	361	375
490	361	374
491	362	374
492	363	373
493	363	372
494	364	371
495	364	370
496	365	369
497	365	368
498	366	368
499	367	367
500	367	366
501	368	365
502	369	364
503	369	363
504	370	363
505	371	362
506	371	361
507	372	360
508	372	359
509	373	358
510	374	357
511	374	357
512	375	356
513	375	355
514	376	354
515	377	353
516	377	352
517	378	352
518	379	351
519	379	350
520	380	349
521	380	348
522	381	347
523	381	346
524	382	346
525	383	345
526	383	344
527	384	343
528	384	342
529	385	341
530	386	340
531	386	340
532	387	339
533	387	338
534	388	337
535	389	337
536	390	336
537	390	335
538	391	334
539	392	334
540	392	333
541	393	332
542	394	331
543	394	331
544	395	330
545	396	329
546	396	328
547	397	327
548	398	327
549	398	326
550	399	325
551	400	324
552	400	323
553	401	323
554	402	322
555	402	321
556	403	320
557	403	320
558	404	319
559	405	318
560	406	317
561	406	317
562	407	316
563	408	315
564	408	314
565	409	313
566	409	313
567	410	312
568	411	311
569	412	310
570	412	310
571	413	309
572	413	308
573	414	307
574	415	306
575	415	306
576	416	305
577	417	304
578	418	303
579	418	303
580	419	302
581	419	301
582	420	300
583	421	300
584	421	299
585	422	298
586	423	297
587	423	297
588	424	296
589	425	295
590	426	294
591	427	294
592	427	293
593	428	292
594	429	292
595	429	291
596	430	290
597	431	289
598	431	289
599	432	288
600	433	287
601	434	287
602	434	286
603	435	285
604	436	284
605	437	284
606	437	283
607	438	282
608	439	281
609	439	281
610	440	280
611	441	279
612	442	279
613	442	278
614	443	277
615	443	276
616	444	276
617	445	275
618	446	274
619	446	273
620	447	273
621	447	272
622	448	271
623	449	270
624	449	269
625	450	269
626	451	268
627	452	267
628	452	267
629	453	266
630	454	265
631	454	264
632	455	264
633	456	263
634	457	262
635	457	261
636	458	261
637	458	260
638	459	259
639	460	258
640	460	258
641	461	257
642	462	256
643	462	255
644	463	254
645	463	254
646	464	253
647	465	252
648	465	251
649	466	251
650	467	250
651	467	249
652	468	248
653	469	248
654	469	247
655	470	246
656	470	245
657	471	244
658	471	244
659	472	243
660	472	242
661	473	241
662	474	240
663	474	240
664	475	239
665	475	238
666	476	237
667	476	237
668	477	236
669	478	235
670	478	234
671	479	233
672	479	233
673	480	232
674	480	231
675	481	230
676	481	229
677	482	229
678	483	228
679	483	227
680	484	226
681	485	226
682	485	225
683	486	224
684	486	223
685	487	223
686	488	222
687	488	221
688	489	220
689	490	220
690	490	219
691	491	218
692	492	218
693	492	217
694	493	216
695	494	215
696	495	215
697	495	214
698	496	213
699	497	213
700	497	212
701	498	211
702	499	210
703	499	210
704	500	209
705	501	208
706	501	207
707	502	207
708	503	206
709	504	205
710	504	205
711	505	204
712	506	203
713	506	203
714	507	202
715	508	201
716	509	200
717	509	200
718	510	199
719	511	198
720	512	198
721	512	197
722	513	196
723	514	195
724	514	195
725	515	194
726	516	193
727	516	193
728	517	192
729	518	191
730	518	190
731	519	190
732	519	189
733	520	188
734	521	188
735	522	187
736	523	186
737	523	185
738	524	185
739	525	184
